oblast;title;amount;smd;type;
Рівненська область;Капітальний ремонт ФАП в с. Красносілля КЗ “Володимирецький районний центр первинної медико-санітарної допомоги” Володимирецький район;118933;155;Медичний заклад;
Запорізька область;Капітальний ремонт системи опалення з встановленням котла на альтернативному паливі сільського будинку культури по вул. Вишневій, 39, с. Новоандріївка Оріхівського району Запорізької області;119000;79;Заклади культури;
Волинська область;Капітальний ремонт санітарних вузлів у навчально-виховному комплексі “Загальноосвітня школа I-III ступеня № 1 - гімназія”, смт Іваничі;119700;19;Навчальний заклад;
Полтавська область;Заміна вікон в Кременчуцькій міській дитячій лікарні, м. Кременчук, вул. Павлова, 16;119981;146;Медичний заклад;
Житомирська область;Капітальний ремонт приміщення (заміна вікон) в Коростенській загальноосвітній школі I-III ступенів № 5, Житомирська область, м. Коростень, вул. Островського, 4;120000;64;Навчальний заклад;
Сумська область;Придбання комп’ютерної техніки для управління праці та соціального захисту населення, м. Ромни, бул. Шевченка, 8;120000;161;Заклади культури;
Миколаївська область;Придбання датчика вагінального до апарата УЗД для Баштанської центральної районної лікарні, Баштанський район;120000;130;Медичний заклад;
Запорізька область;Освітлення с. Мала Токмачка Оріхівського району;120000;79;Благоустрій;
Чернігівська область;Виготовлення проектно-кошторисної документації та проведення пусконалагоджувальних робіт модулів нагріву та підключення їх до системи газопостачання, встановлення вхідних пластикових дверей для Лемешівської ЗОШ I-III ступенів Козелецького району Чернігівс;120000;210;Навчальний заклад;
Рівненська область;Капітальний ремонт Костопільської ЗОШ I-II ступенів № 8 (заміна вікон) по вул. Зелена, 3, м. Костопіль;120000;156;Навчальний заклад;
Івано-Франківська область;Капітальний ремонт Луквицької ЗОШ I-II ст. Богородчанського району Івано-Франківської області, Богородчанський районний бюджет;120000;86;Навчальний заклад;
Тернопільська область;Капітальний ремонт загальноосвітньої школи I-III ступеня, с. Іване-Пусте Борщівського району;120000;167;Навчальний заклад;
Черкаська область;Капітальний ремонт по встановленню твердопаливного котла та заміні системи опалення дошкільного навчального закладу “Сонечко”, с. Пляківка, Ревівська сільська рада Кам’янського району;120000;198;Навчальний заклад;
Черкаська область;Капітальний ремонт по заміні вікон Великояблунівської загальноосвітньої школи I-III ступенів Смілянської районної ради Черкаської області;120000;198;Навчальний заклад;
Черкаська область;Капітальний ремонт покрівлі даху корпусу № 2 Косарської загальноосвітньої школи I-III ступенів Кам’янської районної ради Черкаської області;120000;198;Навчальний заклад;
Черкаська область;Капітальний ремонт по заміні глядацьких крісел в сільському будинку культури, Лебедівська сільська рада Кам’янського району;120000;198;Заклади культури;
Черкаська область;Придбання та монтаж дитячих майданчиків по вул. Захисників України, м. Сміла;120000;198;Діти;
Черкаська область;Облаштування дитячих, спортивних майданчиків, м. Умань Черкаської області;120000;200;Діти;
Черкаська область;Облаштування зупинок громадського транспорту в населених пунктах Уманського району;120000;200;благоустрій;
Одеська область;Капітальний ремонт покрівлі житлового будинку по вул. 28 Червня, 142, м. Рені;120000;143;ЖКГ;
Одеська область;Капітальний ремонт покрівлі житлового будинку по вул. 28 Червня, 144, м. Рені;120000;143;ЖКГ;
Одеська область;Капітальний ремонт по заміні вікон у дошкільному навчальному закладі “Ромашка”, вул. Інтернаціональна, 2, с. Долинське Ренійського району;120000;143;Навчальний заклад;
Одеська область;Капітальний ремонт системи ХВ, ГВ житлового будинку по вул. Космонавтів, 22, у м. Одесі;120000;134;ЖКГ;
Одеська область;Капітальний ремонт інженерних мереж житлового будинку по вул. Академіка Філатова, 51, у м. Одесі;120000;134;ЖКГ;
Одеська область;Капітальний ремонт системи електропостачання житлового будинку по вул. Генерала Петрова, 7/3 м. Одеса;120000;134;ЖКГ;
Одеська область;Капітальний ремонт системи електропостачання житлового будинку по вул. Гайдара, 76, м. Одеса;120000;134;ЖКГ;
Одеська область;Капітальний ремонт системи електропостачання житлового будинку по вул. Богдана Хмельницького, 61, м. Одеса;120000;134;ЖКГ;
Одеська область;Капітальний ремонт системи електропостачання житлового будинку по вул. Болгарській, 18, м. Одеса;120000;134;ЖКГ;
Хмельницька область;Будівництво свердловини в с. Захарівці Хмельницького району;120000;188;розвиток;
Хмельницька область;Капітальний ремонт покриття ділянки дороги від дороги Хмельницький -Волочиськ до с. Захарівці Хмельницького району;120000;188;Асфальт;
Хмельницька область;Капітальний ремонт відмостки будівлі школи, твердого покриття доріжок і майданчиків Грузевицької ЗОШ I-III ступенів по вул. Центральній, 77 в с. Грузевиця Хмельницького району;120000;188;Навчальний заклад;
Львівська область;Реконструкція мережі зовнішнього освітлення по вул. Богуна в м. Червонограді Львівської області з використанням енергозберігаючих технологій із заміною світильників на основі ламп розжарення на світильники на основі LED технологій;120000;124;Благоустрій;
Львівська область;капітальний ремонт будівлі Народного дому, с. Діброва;120273;124;Заклади культури;
Донецька область;Матеріали для монтажу вуличних світлодіодних світильників;120700;52;Благоустрій;
Київська область;Спортивний інвентар для ДЮШС при відділі з питань фізичної культури і спорту Фастівської РДА;120763;91;Заклади культури;
Житомирська область;Капітальний ремонт приміщення (заміна віконних блоків на металопластикові конструкції) Мирославської ЗОШ I-III ступенів в с. Мирославка, вул. Гардишівська, 85 Бердичівського району, Житомирської області;120955;63;Навчальний заклад;
Чернівецька область;Капітальний ремонт санітарних вузлів Кіцманської загальноосвітньої школи, м. Кіцмань Кіцманського району;121200;202;Навчальний заклад;
Донецька область;Дитячий майданчик, с. Урзуф;122000;60;Діти;
Миколаївська область;Галаганівська загальноосвітня школа I-III ступеня по вул. Гагаріна, 69, с. Галаганівка Снігурівського району, заміна вікон;122000;130;Навчальний заклад;
Черкаська область;Облаштування дитячих, спортивних майданчиків в населених пунктах Уманського району;122000;200;Діти;
Вінницька область;Капітальний ремонт дорожнього покриття по вул. Щорса, с. Сугаки Могилів-Подільського району;123000;16;Асфальт;
Миколаївська область;Снігурівська загальноосвітня школа I-III ступеня № 1 по вул. Центральній, 138, м. Снігурівка, заміна вікон;123700;130;Навчальний заклад;
Миколаївська область;Новосафронівська загальноосвітня школа I-III ступеня по вул. Леніна, 21, с. Новосафронівка Новоодеського району, заміна вікон;123700;130;Навчальний заклад;
Черкаська область;Капітальний ремонт по заміні вікон дошкільного навчального закладу “Ялинка”, Думанецька сільська рада Черкаського району;124000;198;Навчальний заклад;
Житомирська область;Капітальний ремонт приміщення (заміна віконних блоків на металопластикові конструкції) Рейської ЗОШ I-III ступенів с. Рея, вул. Миру, 16 Бердичівського району, Житомирської області;124532;63;Навчальний заклад;
Житомирська область;Капітальний ремонт приміщення (заміна вікон) в дошкільному навчальному закладі № 5, Житомирська область, м. Коростень, вул. Зв’язківців, 13;125000;64;Навчальний заклад;
Житомирська область;Капітальний ремонт приміщення (заміна вікон) в дошкільному навчальному закладі № 9, Житомирська область, м. Коростень, вул. Кірова, 76;125000;64;Навчальний заклад;
Кіровоградська область;Будівництво вуличного освітлення від КТП-250 по вул. Невського в с. Сабліно Знам’янського району Кіровоградської області;125000;102;Благоустрій;
Черкаська область;Буріння розвідувально-експлуатаційної свердловини для господарсько-побутових потреб ФОСК “Колос” м. Городище, Городищенський район, Черкаської області;125200;196;розвиток;
Миколаївська область;Миколо-Гулаківська загальноосвітня школа I-III ступеня по вул. Радянській, 20, с. Миколо-Гулак Казанківського району, заміна вікон;125300;130;Навчальний заклад;
Миколаївська область;Улянівська загальноосвітня школа I-III ступеня по вул. Виноградній, 1, с. Ульянівка Новоодеського району, заміна вікон;125400;130;Навчальний заклад;
Житомирська область;Капітальний ремонт приміщення (заміна віконних блоків на металопластикові конструкції) ЗОШ I-III ступенів с. Маркуші, вул. Незалежності, 51 Бердичівського р-ну;125938;63;Навчальний заклад;
Вінницька область;Реконструкція частини загальноосвітньої середньої школи I-III ступеня по вул. Свердлова під приміщення дитячого садка “Ромашка”, с. Гарячківка Крижопільського району;126000;16;Навчальний заклад;
Вінницька область;Технічне переоснащення системи опалення ДНЗ № 2 по вул. Садовій, 1, в с. Городківка Крижопільського району Вінницької області;126000;16;Навчальний заклад;
Чернівецька область;Придбання обладнання і предметів довгострокового користування для облаштування дитячого майданчика у навчально-виховному комплексі “Берегиня” (м. Чернівці, вул. Карбулицького, 2);126000;201;Навчальний заклад;
Житомирська область;Капітальний ремонт приміщення (заміна віконних блоків на металопластикові конструкції) ЗОШ I-III ступенів с. Райгородок, вул. Жовтнева, 18 Бердичівського р-ну;126095;63;Навчальний заклад;
Житомирська область;Капітальний ремонт дороги по вул. Шевченка, с. Романівка Брусилівського району;126600;66;Асфальт;
Полтавська область;Капітальний ремонт будівлі Великокручанської загальноосвітньої школи I-III ступеня с. Велика Круча по вул. Героїв Майдану, 110, Пирятинського району;126600;151;Навчальний заклад;
Житомирська область;Капітальний ремонт вул. Шляхетної, с. Йосипівка Брусилівського району;126800;66;Асфальт;
Житомирська область;Капітальний ремонт дороги по вул. Базарській, с. Морозівка Брусилівського району Житомирської області;126800;66;Асфальт;
Житомирська область;Капітальний ремонт заїзду вул. Івана Франка, смт Брусилів Брусилівського району;126800;66;Асфальт;
Житомирська область;Капітальний ремонт дороги по вул. Шевченка, с. Карабачин Брусилівського району Житомирської області;126800;66;Асфальт;
Житомирська область;Придбання комплектів меблів довгострокового користування для загальноосвітніх шкіл Баранівського району;127000;65;Навчальний заклад;
Миколаївська область;Червонозірська загальноосвітня школа I-III ступеня по вул. Леніна, 42, с. Червона Зірка Снігурівського району, заміна вікон;127100;130;Навчальний заклад;
Сумська область;Придбання матеріалів для капітального ремонту прибудинкової території по м. Конотоп, вул. Лазаревського, 10;127500;160;ЖКГ;
Запорізька область;Капітальний ремонт комунального закладу “Великобілозерська загальноосвітня школа I-III ступенів № 5” Великобілозерської районної ради Запорізької області за адресою: Запорізька обл., Великобілозерський р-н, с. Велика Білозерка, вул. Пархоменка, 65;127541;79;Навчальний заклад;
Волинська область;Капітальний ремонт (заміна вікон та дверей) в Заболотівській загальноосвітній школі I-II ступеня по вул. Бреській, 7, с. Заболоття Любомльського району;127800;19;Навчальний заклад;
Вінницька область;Капітальний ремонт Яришівської амбулаторії загальної практики сімейної медицини (АЗПСМ), заміна вікон та дверей вул. Головна, 157, с. Яришів, Могилів-Подільський район, Вінницька область;128253;16;Медичний заклад;
Миколаївська область;Димівська загальноосвітня школа I-III ступеня по вул. Шкільній, 1, с. Димівське Новоодеського району, заміна вікон;128800;130;Навчальний заклад;
Миколаївська область;Кандибинська загальноосвітня школа I-III ступеня по пров. Шкільному, 1, с. Кандибине Новоодеського району, заміна вікон;128800;130;Навчальний заклад;
Вінницька область;Капітальний ремонт дорожнього покриття по вул. Шевченка, с. Козлів Могилів-Подільського району;129000;16;Асфальт;
Хмельницька область;Придбання комп’ютерної техніки для Писарівської загальноосвітньої школи I-III ступенів Війтовецької ОТГ Хмельницької області;129600;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Завалійківської загальноосвітньої школи I-III ступенів Війтовецької ОТГ Хмельницької області;129600;188;Навчальний заклад;
Львівська область;завершення будівництва та огородження кладовища, с. Переспа;129932;124;благоустрій;
Житомирська область;Капітальний ремонт (заміна вікон на металопластикові) в Морозівській загальноосвітній школі I-III ступеня, с. Морозівка Брусилівського району;130000;66;Навчальний заклад;
Житомирська область;Капітальний ремонт (заміна вікон на металопластикові) в Хомутецькій загальноосвітній школі I-III ступеня, с. Хомутець Брусилівського району;130000;66;Навчальний заклад;
Житомирська область;Капітальний ремонт (заміна вікон на металопластикові) в Лазарівській загальноосвітній школі I-III ступеня, с. Лазарівка Брусилівського району;130000;66;Навчальний заклад;
Рівненська область;Капітальний ремонт приміщення Костопільської ЗОШ I-III ступенів № 4 по вул. Лятуринської, 15, м. Костопіль;130000;156;Навчальний заклад;
Одеська область;Капітальний ремонт дошкільного навчального закладу № 2 (заміна вікон), м. Березівка Березівського району;130000;138;Навчальний заклад;
Одеська область;Капітальний ремонт системи опалення у дошкільному навчальному закладі “Чебурашка”, вул. Соборна, 120, м. Рені;130000;143;Навчальний заклад;
Житомирська область;Будівництво артезіанської свердловини та системи водопостачання дошкільного навчального закладу в с. Покровське Олевського району Житомирської області;130300;64;Навчальний заклад;
Миколаївська область;Баштанська загальноосвітня школа № 1 по вул. Баштанської Республіки, 32, м. Баштанка, заміна вікон;130500;130;Навчальний заклад;
Вінницька область;Капітальний ремонт дорожнього покриття по вул. Коцюбинського, с. Козлів Могилів-Подільського району;131000;16;Асфальт;
Вінницька область;Заміна покрівлі та вікон Брацлавського навчально-виховного комплексу “Загальноосвітня школа I-III ступенів № 1-гімназія” Немирівської районної ради Вінницької області;131000;18;Навчальний заклад;
Тернопільська область;Загальноосвітня школа I-II ступеня, с. Колодрібка Заліщицького району (ремонт приміщень, заміна вікон);132000;167;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Іванковецького НВК;132184;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Копистинського НВК;132184;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Малиницького НВК;132184;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Пархомовецької ЗОШ I-III ст.;132184;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Пироговецької ЗОШ I-III ст.;132184;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Розсошанської ЗОШ I-III ст.;132184;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Ружичанського НВК;132184;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Лісовогриневецької ЗОШ I-III ст.;132184;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Стуфчинецької ЗОШ I-III ст.;132184;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Гвардійського НВК;132184;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Райковецької ЗОШ I-III ступенів;132184;188;Навчальний заклад;
Миколаївська область;Костянтинівська загальноосвітня школа I-III ступеня по вул. Жовтневій, 9, с. Костянтинівка Новоодеського району, заміна вікон;132200;130;Навчальний заклад;
Волинська область;Капітальний ремонт приміщення загальноосвітньої школи I-III ступеня по вул. Першотравневій, 12, с. Дерно Ківерцівського району;132200;23;Навчальний заклад;
Житомирська область;Капітальний ремонт дороги по вул. Юрченка, смт Народичі Народицького району;133900;66;Асфальт;
Сумська область;Капітальний ремонт будівлі районного будинку культури з утепленням приміщень та заміною вікон та дверей по вул. Радянській, 3, смт Вороніж Шосткинського району;134000;160;Заклади культури;
Сумська область;Придбання обладнання і предметів довгострокового користування (інтерактивна дошка та мультимедійний проектор) для 4 загальноосвітніх навчальних закладів Шосткинського району Сумської області;134000;160;Навчальний заклад;
Сумська область;Придбання обладнання і предметів довгострокового користування (інтерактивна дошка та мультимедійний проектор) для 4 загальноосвітніх навчальних закладів Кролевецького району Сумської області;134000;160;Навчальний заклад;
Львівська область;капітальний ремонт відкритого танцювального майданчика Народного дому, с. Корчів;135000;124;Діти;
Житомирська область;Капітальний ремонт вул. Київське шосе, 43/1, м. Житомир;135600;62;Асфальт;
Миколаївська область;Великоолександрівська загальноосвітня школа I-III ступеня по вул. Гагаріна, 46, с. Великоолександрівка Казанківського району, заміна вікон;135600;130;Навчальний заклад;
Миколаївська область;Кашперо-Миколаївська загальноосвітня школа I-III ступеня по вул. Центральній, 10, с. Кашперо-Миколаївка Баштанського району, заміна вікон;135600;130;Навчальний заклад;
Житомирська область;Капітальний ремонт (заміна вікон на металопластикові) в Брусилівській гімназії імені Г.О. Готовчиця, смт Брусилів Брусилівського району;135734;66;Навчальний заклад;
Черкаська область;Капітальний ремонт по заміні віконних блоків у Тимошівській загальноосвітній школі I-III ступенів Кам’янської районної ради Черкаської області;136000;198;Навчальний заклад;
Львівська область;Капітальний ремонт вуличного електроосвітлення в с. Залісся Золочівського району Львівської області;136607;123;Асфальт;
Львівська область;капітальний ремонт підлоги у глядацькому залі Народного дому, с. Тудорковичі;136796;124;Заклади культури;
Львівська область;капітальний ремонт нежитлового приміщення ясла-садка комбінованого типу № 8 по вул. Героїв УПА, 63, м. Сокаль;137545;124;Навчальний заклад;
Житомирська область;Дошкільний навчальний заклад “Сонечко”, с. Великий Молодьків Новоград-Волинського району;137795;65;Навчальний заклад;
Львівська область;капітальний ремонт приміщень ясел-садка комбінованого типу № 1 по вул. Шептицького, 117, м. Сокаль;137972;124;Навчальний заклад;
Черкаська область;Система водопостачання (реконструкція - завершення робіт), смт Лисянка;138100;196;Благоустрій;
Сумська область;Капітальний ремонт колодязів с. Кровне та с. Руднівка, Сумського району, Сумської області;139000;158;благоустрій;
Сумська область;Капітальний ремонт водогону по вул. Центральній, с. Гречкине Кролевецького району;139000;160;Благоустрій;
Волинська область;Будівництво дитячо-спортивного майданчика, с. Смідин Старовижівського району;139800;21;Діти;
м. Київ;Ремонт сходових клітин у багатоквартирному будинку (просп. М. Рокоссовського, 8-А, м. Київ);140000;218;ЖКГ;
Донецька область;Придбання дитячих спортивних комплексів для дитячих садків, м. Волноваха;140000;60;навчальний заклад;
Запорізька область;Реконструкція лінії зовнішнього електроосвітлення за адресою: Запорізька область, Василівський район, с. Степове, вул. 9 Травня, КТП 31/219 та вул. Миру, КТП 31/579;140000;79;Благоустрій;
Запорізька область;Капітальний ремонт ВЛ-0,22 кВт від КТП-5-7/327 вуличного освітлення за адресою: Запорізька обл., Великобілозерський р-н, с. Велика Білозерка;140000;79;Благоустрій;
Чернігівська область;Придбання функціональних ліжок Прилуцьким міськвиконкомом м. Прилуки Чернігівської області;140000;210;розвиток;
Тернопільська область;Дошкільний навчальний заклад “Горобинка”, смт Товсте Заліщицького району (ремонт системи опалення);140000;167;Навчальний заклад;
Тернопільська область;Дошкільний навчальний заклад (утеплення фасаду, улаштування відмостки та улаштування покриття сходів та площадок входу), с. Свидова Чортківського району;140000;167;Навчальний заклад;
Чернівецька область;Капітальний ремонт та влаштування електричного опалення у будинку народної творчості та дозвілля села Черепківці Глибоцького району;140000;203;заклади Культури;
Одеська область;Капітальний ремонт покрівлі житлового будинку по вул. 28 Червня, 210, м. Рені;140000;143;ЖКГ;
Одеська область;Капітальний ремонт системи ХВ, ГВ житлового будинку по вул. Валентини Терешкової, 22, у м. Одесі;140000;134;ЖКГ;
Одеська область;Капітальний ремонт інженерних мереж житлового будинку по вул. Академіка Філатова, 33-А, у м. Одесі;140000;134;ЖКГ;
Хмельницька область;Капітальний ремонт Завалійківської загальноосвітньої школи I-III ступенів (заміна віконних блоків) по вул. Центральній, 31, с. Завалійки Волочиського району Хмельницької області;140000;188;Навчальний заклад;
Хмельницька область;Капітальний ремонт вуличного освітлення вул. Трублаїні і Першотравневої в с. Черепівка Хмельницького району;140000;188;Асфальт;
Львівська область;Будівництво напірного колектора господарсько-побутової каналізації по вул. Шевченка у м. Новий Розділ Львівської області;140110;123;Жкг;
Львівська область;капітальний ремонт (модернізація системи опалення) дитячої дошкільної установи, м. Белз;141993;124;Навчальний заклад;
Миколаївська область;Калузька загальноосвітня школа I-III ступеня по вул. Леніна, 33, с. Калуга Березнегуватського району, заміна вікон;142300;130;Навчальний заклад;
Волинська область;Капітальний ремонт дошкільного навчального закладу № 3 по вул. Хвильового, 29а, м. Нововолинськ;142700;19;Навчальний заклад;
Миколаївська область;Новоданилівська загальноосвітня школа I-III ступеня по вул. Шкільній, 4, с-ще Новоданилівка Казанківського району, заміна вікон;144000;130;Навчальний заклад;
Чернігівська область;Закупівля дитячого майданчика середнього, с. Монастирище, Ічнянський район, Чернігівська область;144000;209;Діти;
Черкаська область;Капітальний ремонт по заміні вікон та дверей в Білозірській загальноосвітній школі I-II ступенів № 1 Білозірської сільської ради Черкаського району;144000;198;Навчальний заклад;
Миколаївська область;Старогороженська загальноосвітня школа I-III ступеня по вул. Привільненській, 2, с. Старогорожене Баштанського району, заміна вікон;144100;130;Навчальний заклад;
Черкаська область;Реконструкція вуличного електроосвітлення ТП - 322 в с. Носачів Смілянського р-ну Черкаської обл.;144340;198;Асфальт;
Чернігівська область;Придбання станків ЧПУ (2 шт) для управління освіти Прилуцької міської ради м. Прилуки Чернігівської області;145000;210;розвиток;
Черкаська область;Капітальний ремонт по заміні вікон Ташлицької загальноосвітньої школи I-III ступенів Смілянської районної ради Черкаської області;145000;198;Навчальний заклад;
Львівська область;капітальний ремонт даху Народного дому, с. Нісмичі;145000;124;Заклади культури;
Чернівецька область;Придбання комп’ютерного обладнання для Долішньо-Шепітської загальноосвітньої школи, с. Долішній Шепіт Вижницького району;145200;202;Навчальний заклад;
Чернівецька область;Придбання комп’ютерного обладнання для Виженської загальноосвітньої школи, с. Виженка Вижницького району;145200;202;Навчальний заклад;
Житомирська область;Капітальний ремонт приміщення (заміна віконних блоків на металопластикові конструкції) ЗОШ I-III ступенів с. Озадівка, вул. Дружби, 2, Бердичівського р-ну;145426;63;Навчальний заклад;
Житомирська область;Капітальний ремонт приміщення (заміна віконних блоків на металопластикові конструкції) ЗОШ I-III ступенів в селі Швайківка, вул. Підліски, 3 Бердичівського р-ну;145490;63;Навчальний заклад;
Житомирська область;Капітальний ремонт по заміні вікон на металопластикові Половецької ЗОШ I-III ст. в селі Половецьке по вул. Центральна, 41 Бердичівського р-ну;145500;63;Навчальний заклад;
Житомирська область;Капітальний ремонт фельдшерсько-акушерського пункту в с. Старий Солотвин по вулиці Садова 54, Бердичівського р-ну;145500;63;Медичний заклад;
Рівненська область;Капітальний ремонт (санація) будівлі Любахівської загальноосвітньої школи I-III ступенів в с. Любахи Володимирецького району Рівненської області. Заміна вікон і дверей;145500;155;Навчальний заклад;
Львівська область;Капітальний ремонт Народного дому, с. Раденичі Мостиського району;145500;120;Заклади культури;
Львівська область;Капітальний ремонт фізіотерапевтичного відділення (водолікування) комунального закладу Сокальської районної ради Львівської області “Сокальська центральна районна лікарня”, м. Сокаль;145630;124;Медичний заклад;
Миколаївська область;Перемозька загальноосвітня школа I ступеня по пров. Чорноморському, 1, с-ще Перемога Баштанського району, заміна вікон;145700;130;Навчальний заклад;
Миколаївська область;Новосергіївська загальноосвітня школа I-II ступеня по вул. Центральній, 13, с. Новосергіївка Баштанського району, заміна вікон;145700;130;Навчальний заклад;
Чернівецька область;Реконструкція будівлі Герцаївського дошкільного навчального закладу “Теремок” по вул. Шикули, 4, м. Герца;146000;203;Навчальний заклад;
Рівненська область;Капітальний ремонт (заміна вікон) Великоозерянського НВК “ЗОШ I-III ст. - ДНЗ” по вул. Березова, 4 в с. Великі Озера Дубровицького району Рівненської області;146316;155;Навчальний заклад;
Сумська область;Придбання матеріалів для капітального ремонту прибудинкової території по м. Конотоп, вул. Братів Лузанів, 62;147200;160;ЖКГ;
Херсонська область;Капітальний ремонт, заміна вікон та дверей на енергозберігаючі Бехтерської загальноосвітньої школи I-III ступеня, с. Бехтери Голопристанського району;147340;186;Навчальний заклад;
Миколаївська область;Маліївська загальноосвітня школа I-III ступеня по вул. Шкільній, 64, с. Маліївка Березнегуватського району, заміна вікон;147400;130;Навчальний заклад;
