data,deputy,link,assets
2017-05-02T00:00:00,Богдан Руслан Дмитрович,https://declarations.com.ua/declaration/nacp_e61997e7-b177-454a-b238-b64935f6ce26,157 163 742  
2017-04-07T00:00:00,Богомолець Ольга Вадимівна,https://declarations.com.ua/declaration/nacp_5481dbbe-0fd1-4715-a40e-6f386390148b,28 358 049  
2017-03-07T00:00:00,Богуслаєв Вячеслав Олександрович,https://declarations.com.ua/declaration/nacp_60c1c2d7-8119-4571-a077-41067b72c936,781 168 749  
2017-03-29T00:00:00,Бойко Олена Петрівна,https://declarations.com.ua/declaration/nacp_b3adf489-78da-47d8-810f-9f8165d7952b,0
2017-03-28T00:00:00,Бойко Юрій Анатолійович,https://declarations.com.ua/declaration/nacp_86966592-5e1b-4108-9f66-505d0d02e803,40 999 328  
2017-03-30T00:00:00,Бондар Віктор Васильович,https://declarations.com.ua/declaration/nacp_3c5f81e6-6ec7-4524-88db-dd89db60689f,44 122 231  
2017-01-30T00:00:00,Бондар Михайло Леонтійович,https://declarations.com.ua/declaration/nacp_70d6f2f1-8862-40bb-a15f-9c72af4efab3,0
2017-03-30T00:00:00,Брензович Василь Іванович,https://declarations.com.ua/declaration/nacp_78ff895e-112b-4f14-91bf-d06226e57a12,0
2017-03-29T00:00:00,Бригинець Олександр Михайлович,https://declarations.com.ua/declaration/nacp_7951540c-4d62-48e0-8c79-17853657cfd8,2 021 181  
2017-03-30T00:00:00,Бриченко Ігор Віталійович,https://declarations.com.ua/declaration/nacp_e8807adc-ae18-4595-996b-d5b3928ef848,6 346 834  
2017-03-31T00:00:00,Бублик Юрій Васильович,https://declarations.com.ua/declaration/nacp_e8f25644-31ee-4703-bd35-b51ec79a7199,8 508 187  
2017-03-03T00:00:00,Буглак Юрій Олександрович,https://declarations.com.ua/declaration/nacp_bc6023f7-df34-4fba-a6e5-62823225d36e,31 964 803  
2017-03-23T00:00:00,Бурбак Максим Юрійович,https://declarations.com.ua/declaration/nacp_b9e49a9b-8475-4be7-b056-b6f1563ca7b5,8 296 129  
2017-03-23T00:00:00,Бухарєв Владислав Вікторович,https://declarations.com.ua/declaration/nacp_40205131-9771-49d4-b8e4-157498c36591,13 311 519  
2017-02-08T00:00:00,Вадатурський Андрій Олексійович,https://declarations.com.ua/declaration/nacp_142c1863-e9b8-463e-b1a6-ff96dff75031,0
2017-03-29T00:00:00,Валентиров Сергій Васильович,https://declarations.com.ua/declaration/nacp_52bf8f44-7f58-4719-afa0-ac47206d2bd4,3 025 406  
2017-01-17T00:00:00,Васюник Ігор Васильович,https://declarations.com.ua/declaration/nacp_1104ed70-60f9-4f8c-8180-fc7d05ce0223,6 751 802  
2017-03-17T00:00:00,Величкович Микола Романович,https://declarations.com.ua/declaration/nacp_757df6f9-5744-44cc-bfb3-ce0ddf3fb03b,0
2017-03-31T00:00:00,Велікін Олег Маркович,https://declarations.com.ua/declaration/nacp_cacea08a-5ad1-486c-ba83-c492e5c22035,21 546 947  
