data,deputy,link,assets
2016-10-27T00:00:00,Абдуллін Олександр Рафкатович,https://declarations.com.ua/declaration/nacp_b3e59048-ead5-48ea-a976-8b6a26b373db,27 389 001  
2016-10-28T00:00:00,Агафонова Наталія Володимирівна,https://declarations.com.ua/declaration/nacp_e645fa89-6408-49c7-b5c1-512ce03ac857,2 103 842  
2016-11-02T00:00:00,Алексєєв Ігор Сергійович,https://declarations.com.ua/declaration/nacp_3f1afba8-a4b2-41d4-8c38-7182aab1d944,1 641 637  
2016-10-30T00:00:00,Алєксєєв Сергій Олегович,https://declarations.com.ua/declaration/nacp_e0f8fa90-2a6c-457a-810f-93f6e2c233c2,39 944 097  
2016-10-30T00:00:00,Амельченко Василь Васильович,https://declarations.com.ua/declaration/nacp_0874acec-70a0-40a1-b2dc-0eca3a712fd4,8 994 563  
2016-11-04T00:00:00,Андрієвський Дмитро Йосипович,https://declarations.com.ua/declaration/nacp_884e2433-4331-490a-b118-6f63e728322f,31 448 070  
2016-10-28T00:00:00,Антонищак Андрій Федорович,https://declarations.com.ua/declaration/nacp_dc4a66c7-fc62-4f3e-939c-35e86b63b1cc,970 819  
2016-10-27T00:00:00,Арешонков Володимир Юрійович,https://declarations.com.ua/declaration/nacp_a60a96e9-1e39-4032-8ab7-cc4e0ac25797,659 858  
2016-10-20T00:00:00,Ар'єв Володимир Ігорович,https://declarations.com.ua/declaration/nacp_d576af92-d956-418c-af54-15f8eb3f1467,5 766 004  
2016-10-29T00:00:00,Артеменко Андрій Вікторович,https://declarations.com.ua/declaration/nacp_e914103b-f163-49e6-8c7a-7b7ec3ddf639,10 220 236  
2016-10-20T00:00:00,Артюшенко Ігор Андрійович,https://declarations.com.ua/declaration/nacp_3ab169e5-b481-4aa4-8e63-4d20026a8be2,314 044  
2016-10-29T00:00:00,Бабак Альона Валеріївна,https://declarations.com.ua/declaration/nacp_7d5d43c8-ebf4-4cb6-ab16-4d1271977d38,3 950 817  
2016-11-03T00:00:00,Бабенко Валерій Борисович,https://declarations.com.ua/declaration/nacp_1f4c2a7c-ba58-4c8e-b260-87e7b3520666,3 721 655  
2016-10-27T00:00:00,Бабій Юрій Юрійович,https://declarations.com.ua/declaration/nacp_75ec2340-3717-4b25-b9e4-cdbadbe29adb,11 433 811  
2016-11-04T00:00:00,Бакулін Євген Миколайович,https://declarations.com.ua/declaration/nacp_385984a5-85f3-4203-a5c9-60ddec3eff2a,49 084 350  
2016-10-29T00:00:00,Бакулін Євген Миколайович,https://declarations.com.ua/declaration/nacp_b1ba3937-d84f-4de8-956c-0a9f4f660ca4,44 538 208  
2016-11-03T00:00:00,Бакуменко Олександр Борисович,https://declarations.com.ua/declaration/nacp_bc271098-9c97-4e11-a125-e8471c9e3d4c,3 854 094  
2016-10-29T00:00:00,Балицький Євген Віталійович,https://declarations.com.ua/declaration/nacp_412a4ced-55d4-4af0-996d-19a33288763a,50 336 065  
2016-10-24T00:00:00,Балога Віктор Іванович,https://declarations.com.ua/declaration/nacp_77079a65-812d-4d1e-8b62-08a46f1ef2e1,27 067 767  
2016-10-28T00:00:00,Балога Іван Іванович,https://declarations.com.ua/declaration/nacp_689168b7-8952-4839-a9a4-da61a00d8c6f,50 427 526  
2016-10-27T00:00:00,Балога Павло Іванович,https://declarations.com.ua/declaration/nacp_5bb19e84-3031-4ae5-9221-c3ec6760dac4,49 887 900  
2016-10-28T00:00:00,Бандуров Володимир Володимирович,https://declarations.com.ua/declaration/nacp_0485ebfa-24b1-47ce-8b42-4b581bd999ff,70 183 248  
2016-10-28T00:00:00,Барвіненко Віталій Дмитрович,https://declarations.com.ua/declaration/nacp_e9238896-47d0-4fea-8b6d-2313ccb3b444,29 118 837  
2016-11-06T00:00:00,Барна Олег Степанович,https://declarations.com.ua/declaration/nacp_4c7470af-3aa1-4109-b096-17b6c4455bf0,1 482 449  
2016-11-04T00:00:00,Батенко Тарас Іванович,https://declarations.com.ua/declaration/nacp_f55cd133-20ac-4e9f-abc9-62da744f14fd,1 185 000  
2016-10-29T00:00:00,Бахтеєва Тетяна Дмитрівна,https://declarations.com.ua/declaration/nacp_489222e5-8487-4e52-bb4e-ee99dc09a3b6,2 389 979  
2016-10-18T00:00:00,Безбах Яків Якович,https://declarations.com.ua/declaration/nacp_ffefa47d-1c2b-4dc2-b8e1-1cca6f29b939,171 275  
2016-11-04T00:00:00,Береза Борислав Юхимович,https://declarations.com.ua/declaration/nacp_82ce56f6-9f49-4901-8325-4f14b4083a8e,9 621 654  
2016-10-29T00:00:00,Береза Юрій Миколайович,https://declarations.com.ua/declaration/nacp_5cba2c2c-09f6-4dce-b528-8f8e770124bd,81 657  
2016-10-29T00:00:00,Березенко Сергій Іванович,https://declarations.com.ua/declaration/nacp_f1046dc3-0a6c-477a-af9a-fd511d388955,5 803 426  
2016-11-03T00:00:00,Березкін Станіслав Семенович,https://declarations.com.ua/declaration/nacp_d5103bcd-ac20-40a5-acf1-586c58717990,23 917 061  
2016-10-29T00:00:00,Березюк Олег Романович,https://declarations.com.ua/declaration/nacp_409d2c14-9dd5-42ba-8d15-572a92f3daac,565 267  
2016-10-29T00:00:00,Бєлькова Ольга Валентинівна,https://declarations.com.ua/declaration/nacp_c0c365fd-ca40-45a5-9b10-1025035aab80,5 749 679  
2016-10-29T00:00:00,Білецький Андрій Євгенійович,https://declarations.com.ua/declaration/nacp_b1606fc3-bca6-4a3a-bd4d-81930efe46cb,128 470  
2016-11-04T00:00:00,Білий Олексій Петрович,https://declarations.com.ua/declaration/nacp_33e60837-d6ec-4058-9ff2-b89c0d7b4af1,7 815 427  
2016-10-29T00:00:00,Біловол Олександр Миколайович,https://declarations.com.ua/declaration/nacp_4feab27d-c55e-4c66-9670-487c485b419e,3 741 992  
2016-11-02T00:00:00,Білозір Оксана Володимирівна,https://declarations.com.ua/declaration/nacp_fbf93a31-a240-4bc0-9b87-81f679a5f0f3,13 648 561  
2016-10-29T00:00:00,Білоцерковець Дмитро Олександрович,https://declarations.com.ua/declaration/nacp_8756a4cd-e1f6-4d7f-be5d-6d4ea6abb2b4,2 083 463  
2016-10-28T00:00:00,Бобов Геннадій Борисович,https://declarations.com.ua/declaration/nacp_4c13384e-614f-482e-95ea-e43fcea0d006,210 484 015  
2016-10-28T00:00:00,Богомолець Ольга Вадимівна,https://declarations.com.ua/declaration/nacp_a81d1a30-92ce-4d4b-8ffb-2294723e561c,27 295 560  
2016-11-07T00:00:00,Богуслаєв Вячеслав Олександрович,https://declarations.com.ua/declaration/nacp_a13c001e-0262-4525-8911-6993fd801511,18 159 021  
2016-10-24T00:00:00,Бойко Олена Петрівна,https://declarations.com.ua/declaration/nacp_da65092a-0caa-441e-b5b1-8bc529b329ec,0
2016-11-05T00:00:00,Бойко Юрій Анатолійович,https://declarations.com.ua/declaration/nacp_de9b7670-8ebc-4c19-bb3b-b1f76948ea08,37 292 406  
2016-10-29T00:00:00,Бондар Віктор Васильович,https://declarations.com.ua/declaration/nacp_80dbb475-16f1-4bed-aef1-b4560dcd77f5,51 008 185  
2016-10-18T00:00:00,Бондар Михайло Леонтійович,https://declarations.com.ua/declaration/nacp_b3044609-5336-416f-856d-2e5f211f40b4,157 800  
2016-10-31T00:00:00,Брензович Василь Іванович,https://declarations.com.ua/declaration/nacp_36451564-3277-4208-bf69-dbf87fa30e19,0
2016-11-04T00:00:00,Бригинець Олександр Михайлович,https://declarations.com.ua/declaration/nacp_bd5d54e5-e3b5-4c89-b5c4-657fc71c9084,2 114 253  
2016-10-28T00:00:00,Бриченко Ігор Віталійович,https://declarations.com.ua/declaration/nacp_b7f86ccd-25f8-45e5-80c0-b238f130406f,6 314 845  
2016-10-30T00:00:00,Бублик Юрій Васильович,https://declarations.com.ua/declaration/nacp_ac0380fd-5cfa-4cd4-aed7-bb8d8ba934fa,10 708 187  
2016-11-02T00:00:00,Бурбак Максим Юрійович,https://declarations.com.ua/declaration/nacp_a29c207c-6066-445d-b68d-355c2974395f,5 176 596  
2016-10-29T00:00:00,Бухарєв Владислав Вікторович,https://declarations.com.ua/declaration/nacp_6147a716-f390-4f49-9812-556933c4b855,13 342 047  
2016-10-21T00:00:00,Вадатурський Андрій Олексійович,https://declarations.com.ua/declaration/nacp_6e7a42aa-14dd-497e-a9f0-62ee3bf32a38,0
2016-10-28T00:00:00,Валентиров Сергій Васильович,https://declarations.com.ua/declaration/nacp_1a4f6977-872a-4004-a269-87596acd3ca4,3 081 106  
